title,assignedTo,stars,category,completed,dayOfWeek,order,description,isBonus,isPenalty,isSeriousFault
Débarasser la table,tous,1,quotidien,,,,,,,
Ranger le salon (jouets / livres),enfants,1,quotidien,,,,,,,
Ranger sa chambre,enfants,3,hebdomadaire,,,,,,,
Ranger sa veste et ses chaussures,enfants,1,quotidien,,,,,,,
S'habiller seul le matin,enfants,1,quotidien,,,,,,,
Préparer son cartable,Florent,1,quotidien,,,,,,,
Préparer son petit déjeuner seul,Florent,1,quotidien,,,,,1,,
Faire ses devoirs sans rouspeter,Florent,1,quotidien,,,,,,,
S'exercer à la guitare / au piano,enfants,2,quotidien,,,,,1,,
Passer l'aspirateur ,enfants,3,hebdomadaire,,,,,1,,
faire la vaisselle,enfants,3,hebdomadaire,,,,,1,,
Se brosser les dents,enfants,2,quotidien,,,,1 étoile par brossage,,,
Nourrir / donner à boire au chien,enfants,1,quotidien,,,,,1,,
Mettre le linge sale dans le panier à linge,enfants,1,quotidien,,,,,,,
Ranger les vetements propres,enfants,1,quotidien,,,,,,,
Etre poli (dire merci, s'il te plait, bonjour, au revoir),enfants,1,quotidien,,,,,,,
Ne pas dire de gros mots,enfants,1,quotidien,,,,,,1,
Ne pas blesser exprès,enfants,3,quotidien,,,,,,1,
Quitter un endroit tout de suite quand les parents le demandent (école, chez un ami/anniversaire,...),enfants,4,hebdomadaire,,,,,,,
Ranger les courses,enfants,1,hebdomadaire,,,,,1,,
Faire des exercices en plus de l'école (maths, problèmes, anglais, français, écriture),enfants,3,hebdomadaire,,,,,1,,
aller aux toilettes avant de dormir,enfants,1,quotidien,,,,,,,
